id,uid,name,type,description,review,user_id,dt_current_timestamp
1626,02742d3f-832e-4733-bac6-d6f67721e02b,66 BBQ,Bar,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",5bd91847-045e-4332-ad74-370463dada90,2026-03-05 09:26:14
3514,6a6fd7f5-2748-4025-a87f-92a8ea171cfd,Cafe Delight,Cafe,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,e0443817-8bbf-4b11-a984-5de1a4a28d42,2026-03-05 09:26:14
4635,e5f59c2c-0790-4722-9cb4-c03de1880688,Mountain Retreat,Cafe,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,4e49a9d2-b2f6-42c4-806a-f7a6b685cc97,2026-03-05 09:26:14
6269,829f2204-93e3-4849-86ec-5ddf845a2ab6,Cafe Delight,Bistro,Elegant dining with a panoramic ocean view.,A bit pricey but totally worth it.,24ba4213-c0b2-4c5d-af3c-5323f296cd61,2026-03-05 09:26:14
5323,826fa5a0-58c8-4ff7-9832-8246e80b585e,Sweet Box,Bistro,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,46791641-20b6-45f0-a73f-a228daf38c26,2026-03-05 09:26:14
8767,2484a2ce-24f4-4266-bb7f-a0357eafb203,Sweet Box,Bistro,Fast and delicious meals for the on-the-go customer.,Excellent food and friendly service!,43a698f1-b709-476c-b006-9993b6d232b9,2026-03-05 09:26:14
1517,35dc8436-0920-477f-87b7-3ccce188c348,Sweet Box,Bar,A perfect place for a romantic evening.,A bit pricey but totally worth it.,016e945c-fb93-4ca2-bb86-df8f242fe0eb,2026-03-05 09:26:14
1702,64e6358d-4299-4b7e-a850-11101a8713a5,Cafe Delight,Bar,A cozy place with home-style cooking.,A bit pricey but totally worth it.,65bc9f01-4cdf-4424-92c1-7d68ed8391f5,2026-03-05 09:26:14
5984,82f716ed-e9a8-4c7e-9453-e166535aa990,Cafe Delight,Bistro,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,b3094d74-b22c-47fe-881c-66626fc376ed,2026-03-05 09:26:14
5822,bd60300b-59b6-44e9-a3c2-a678865fae23,66 BBQ,Fine Dining,Fresh and healthy food served in a comfortable setting.,"Not the best experience, but the food was okay.",4277267a-8b99-4bf1-93d7-486b9d305715,2026-03-05 09:26:14
7471,21d3f140-aae4-4ec6-999b-a249759064de,66 BBQ,Bar,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",4773a063-b937-4eac-be68-b92e3f810bf7,2026-03-05 09:26:14
1480,d0ba3046-8aae-49c9-8aab-0867b17c78db,Ocean View,Cafe,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,2d4e8f7b-72ea-43b3-a06f-35f5480b5081,2026-03-05 09:26:14
3867,9e2568e2-b022-4f5f-a9b7-e7a12d9b345c,Mountain Retreat,Bistro,Elegant dining with a panoramic ocean view.,Excellent food and friendly service!,59e714b0-4fdb-46d6-a71c-6d2d83905ada,2026-03-05 09:26:14
4180,f86ab6ea-61e7-4ebb-bf32-5fddb9f3d661,Cafe Delight,Fast Food,A cozy place with home-style cooking.,"Great location, but the service could be better.",3d39f01e-0bdc-4689-85c3-be491e956e06,2026-03-05 09:26:14
4936,2007c1ac-630c-4685-8224-cbf78b38d353,66 BBQ,Fine Dining,A perfect place for a romantic evening.,Loved the ambience and the dessert menu.,ac91257f-e82f-426a-97d9-378e55b13f58,2026-03-05 09:26:14
9702,28a98aac-af7a-4287-bfcb-3457b2c2e7b8,Cafe Delight,Bistro,Elegant dining with a panoramic ocean view.,Excellent food and friendly service!,4909d4ac-60e7-4faf-bd98-0d6b91f9f2b5,2026-03-05 09:26:14
6565,077ada96-62dc-4b04-a9a4-f7dced462dfe,66 BBQ,Bar,A cozy place with home-style cooking.,"Great location, but the service could be better.",d38814a3-60a6-44bc-a3c7-5f02070629bc,2026-03-05 09:26:14
1051,1acc48f3-15d6-4fd5-a6d8-7d25fea21886,66 BBQ,Bar,A perfect place for a romantic evening.,"Great location, but the service could be better.",b92164ab-0fae-4ab6-b6b4-214ddb57d817,2026-03-05 09:26:14
3754,ba9d185f-f8b9-4922-bf4c-ecd20dfd6b4a,Mountain Retreat,Bar,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,b89ec510-1502-4748-a5f8-49028ccec01d,2026-03-05 09:26:14
9084,f335776b-585b-4e4e-99aa-06801861e77f,Ocean View,Fast Food,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",c7e9646a-76b6-4397-8f93-64363c372a66,2026-03-05 09:26:14
8345,d7786331-714a-4c4e-85b6-fa0f81b89f57,Sweet Box,Bar,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,c3842d2c-a55e-44ed-96b0-4287496c1b46,2026-03-05 09:26:14
8798,2446a4ab-ca18-49ea-922b-7704c5492c12,Cafe Delight,Fine Dining,A cozy place with home-style cooking.,A bit pricey but totally worth it.,6a91ad59-a56b-470b-b95e-2d3474d67bca,2026-03-05 09:26:14
